Theme	Parent	Definition	Example	References
passion for history	human aspiration	A character is enthusiastic about the subject of history.		https://en.wikipedia.org/wiki/History
growing as a person	introspection	Someone realizes that they've learned something important that made them develop as a person, making them more mature and sophisticated as a result.		
passion for spectator sports	human pleasure	Someone is an enthusiastic fan of a sport (but not typically a player themself).		https://en.wikipedia.org/wiki/Spectator_sport
the dangers of circumstantial evidence	contemporary social issue	The social consequences of the human weakness for sometimes putting undue weight on  circumstantial evidence is featured.  Circumstantial evidence is evidence that relies on an inference to connect it to a  conclusion of fact. This is to say that the conclusion does not follow with 100% certainty; correctly gauging the degree of justified certainty may require careful weighting of probabilities beyond what many people are capable of. 		https://en.wikipedia.org/wiki/Circumstantial_evidence
quality vs. quantity	life lesson	The ever-present dichotomy between quantity and quality is features: Should one strive towards producing many mediocre things or a few high quality things, or is there a sweet  spot somewhere in between?		
rumor spreading in society	contemporary social issue	The potential consequences to society of excessive rumor spreading is discussed.		https://en.wikipedia.org/wiki/Rumor_spread_in_social_network
what if I could edit my lover	what if my life were different	We imagine what it would be like to be able to simply change aspects about our lover as easily as we change clothes.		
human and AI romance	romantic relationship	A romantic relationship between a real person and an artificial person is featured.		
virtual lover	AI technology	There is a virtual personality with which someone corporeal has a love affair.		
life in 19th century Ireland	history	It is described what life might have been in Ireland during the 18-hundreds.		
the ascent of man	history	Man's development from pre-historical primate through various stages of civilization, cultural and scientific development through to our present state is featured more or less in the whole.		
coping with being famous	coping with social issues	Someone deals with the various travails that may come with being famous, such as lack of privacy, creepy stalkers, greedy supplicants, etc. etc.		
