Theme	ThemeID	ParentTheme	Tags	RelatedThemes	Definition	Example
Fourier series	1012	topics in science			The human body is 65% oxygen, 18% carbon, 10% hydrogen, 3% nitrogen, and 4% other elements as measured by mass.	
general relativity	1172	topics in science			The actual past hominid evolution on Earth, and the the hypothetical past or future humanoid-alien evolution in space.	
generation loss	1173	topics in science			The bottom-up process of reasoning where by observed particular instances lend support to broader general laws.	Geordi correctly inferred the location of an object by performing a vector analysis on the shadow it cast in tng4x18 "Identity Crisis".
geometric growth	1175	topics in science			One of five points in the plane of orbit of one body around another, e.g., the earth around the sun, at which a small third body can remain stationary with respect to both.	A mysterious warship hid in the Lagrange point behind Rana IV’s farthest moon in tng3x03 “The Survivors”.
human body composition	834	topics in science			The statement of a liar who states that they are lying: for instance, declaring that "I am lying" or "everything I say is false". If they are indeed lying, they are telling the truth, which means they are lying and so on ad infinitum.	Captain Kirk bested the android Norman by skillfully wielding this dangerous piece of otherwise abstract mathematics in tos2x12 “I, Mudd”.
humanoid evolution	657	topics in science			The change of direction in a light wave due to a change in its transmission medium, such as a transition from air to a glass prism.	The Aldean planetary cloak made use of this scientific principle in tng1x17 "When The Bough Breaks".
inductive logic	1206	topics in science			A scale of measurement that displays the value of a quantity using intervals corresponding to orders of magnitude, like the Richter scale for earthquakes.	Data and Geordi used a logarithmic scale in tng5x04 "Silicon Avatar" to improve image resolution.
Lagrange point	1014	topics in science	mathematics, physics		One of two geometries that arise by relaxing Euclid’s postulate that the angles of a triangle sum to 180 degrees.	
Liar's Paradox	1015	topics in science			A comparatively complex system in which the output is not directly proportional to the input. Nonlinear systems may appear chaotic in contrast with much simpler linear systems.	Spock's calculation of the time at which the next “interphase” state would occur was comfounded by nonlineariries in tos3x09 "The Tholian Web".
light refraction	1228	topics in science			Every planet has a characteristic minimum orbital altitude, below which orbiting objects experience rapid orbital decay and altitude loss.	The Enterprise experienced orbital decay around 20th century Earth in tos1x21 "Tomorrow is Yesterday".
logarithmic scale	1232	topics in science			A collection of methods for discovering planets outside the Solar System, including direct imaging with telescopes, the radial-velocity method, and the transit method.	Such methods were employed in tos3x20 "The Way to Eden" to search for the mythical planet Eden.
non-Euclidean geometry	1263	topics in science			A number greater than 1 that has no positive divisors other than 1 and itself.	Captain Picard tapped the first six prime numbers into a door panel in tng3x18 “Allegiance”.
nonlinear systems	1264	topics in science			The practice of thoroughly mixing up a collection of objects so that nobody can tell which is which, like the use of a well-shuffled deck of playing cards at the fizzbin table (c.f. tos2x20 “A Piece of the Action”).	Worf tacitly questioned Data’s randomization of a deck of cards in tng5x18 "Cause and Effect".
orbital decay	1270	topics in science			A self-reinforcing wave that maintains its shape while it travels at a constant speed.The Morning Glory Cloud of the Gulf of Carpentaria is one example from nature.	Dr. Ja'Dar developed a soliton wave method of propulsion in tng5x10 “New Ground”.
planet hunting	1293	topics in science			According to special relativity, the speed of light (c=299,792,458 meters per second) is the maximum speed at which all matter and information in the universe can travel.	In a rare nod to real astrophysics, Trelane actually saw the Earth as it was centuries earlier when he observed it from Gothos in tos1x18 "The Squire of Gothos".
prime numbers	1309	topics in science			A mutually beneficial and often long-term interaction between different biological species.	
randomization	1318	topics in science			The notion that a small change in the initial conditions of a system can result in large differences in a later state.	
soliton wave	1359	topics in science			This principle, named in honor of Nicolaus Copernicus, states that Earth is not in a central, specially favored position in the universe.	Mark Twain explained in tng5x26 "Time's Arrow" how British naturalist Alfred Russell Wallace had “revived the theory that Earth is at the center of the stellar universe”.
speed of light limitation	1382	topics in science			Certain gasses in the Earth's atmosphere (e.g. carbon dioxide) trap heat from the sun, making the planet hotter than it would be otherwise.	Global warming is normally viewed as a bad thing, but when Penthara IV got hit by a type C asteroid in tng5x09 "A Matter of Time", a dose of the greenhouse effect was in fact the prescribed cure.
