Theme	ThemeID	ParentTheme	Domain	RelatedThemes	Tags	Definition	Example
having sex to save a life	1665	personal practical dilemma	the human condition			Someone decides whether or not they will condescend to have sex with someone else if doing so  means saving that person's life.	
helicopter parenting	1666	parenting	the human condition			A parent pays unusually close attention to a child's experiences and problems, particularly  at educational institutions. Figuratively, the parent hovers over the child like a helicopter.	
hell hath no fury like a woman scorned	1667	female stereotype	society			The Shakespearian observation that many women take extraordinarily badly to being rejected by  someone they are romantically interested in, is put forth.	
helping a stranger in need	1668	self-sacrifice	the human condition			Someone goes out of their way in order to help a stranger who appears to be in some need of help.	
heteroscopic points of view	1669	views and customs	society			The point of view of someone who is substantially different in size from humans is featured. Imagine for  example how we might be perceived by an intelligent being the size of an ant, or one the size of a sun.	
history	1670	the fine arts and the humanities	the pursuit of knowledge			This academic discipline that is the study of recorded history is featured. Note that the past may be studied in other ways under other headings, for example in archeology and geology.	
hive mind utopia	1671	utopia	alternate reality			There is a seemingly perfect society (from someone's point of view) based on everyone in it being mentally connected to everyone else in a way that forms a single shared consciousness.	In voy3x17 "Unity" a group of liberated Borg drones defend the benefits of living as a hive mind.
how to start a fire	1672	topic in technology	the pursuit of knowledge			Various ways in which fires can be started, along with the underlying physical principles,  are illustrated.	
human empathy for babies	1673	human nature	the pursuit of knowledge			The way humans tend to feel particular empathy for babies is noted.	
imperialistic conscientious alien	1674	culturally distinguished life form	alternate reality			There is an alien race that has a reasonably compassionate moral code of conduct yet manages  to be expansionist and imperialistic nevertheless.	
